station_eu_code,variabili,coeff,se,pvalue
IT0775A,wdir,-0.016,0.02,0.426
IT0775A,wspeed,-0.518,0.104,0
IT0775A,pblmax,-0.083,0.025,0.001
IT0775A,pblmin,-0.372,0.095,0
IT0775A,dtr,0.025,0.031,0.426
IT0775A,lockdown,0.394,0.321,0.22
IT0775A,weekend,-0.269,0.043,0
IT0775A,banda,-0.013,0.002,0
IT0775A,bandalockdown,-0.006,0.003,0.071
IT0771A,ma1,0.496,0.104,0
IT0771A,intercept,4.318,0.226,0
IT0771A,t2m,0.07,0.103,0.498
IT0771A,tp,-0.004,0.024,0.86
IT0771A,ptp,-0.041,0.02,0.036
IT0771A,sp,0.186,0.176,0.291
IT0771A,wdir,-0.017,0.015,0.273
IT0771A,wspeed,0.059,0.068,0.382
IT0771A,pblmax,-0.112,0.028,0
IT0771A,pblmin,-0.245,0.091,0.007
IT0771A,dtr,0.071,0.026,0.007
IT0771A,lockdown,0.121,0.287,0.673
IT0771A,weekend,-0.215,0.046,0
IT0771A,banda,-0.01,0.002,0
IT0771A,bandalockdown,-0.007,0.003,0.016
IT0761A,ar1,0.384,0.083,0
IT0761A,intercept,4.075,0.218,0
IT0761A,t2m,-0.051,0.097,0.603
IT0761A,tp,0.021,0.033,0.52
IT0761A,ptp,-0.034,0.028,0.236
IT0761A,sp,0.063,0.18,0.726
IT0761A,wdir,-0.064,0.025,0.011
IT0761A,wspeed,-0.074,0.034,0.03
IT0761A,pblmax,-0.077,0.026,0.004
IT0761A,pblmin,-0.359,0.129,0.005
IT0761A,dtr,0.111,0.026,0
IT0761A,lockdown,0.137,0.295,0.642
IT0761A,weekend,-0.226,0.043,0
IT0761A,banda,-0.006,0.002,0.001
IT0761A,bandalockdown,-0.004,0.003,0.165
IT1734A,ma1,0.291,0.084,0.001
IT1734A,intercept,3.217,0.242,0
IT1734A,t2m,-0.073,0.103,0.475
IT1734A,tp,0.017,0.031,0.582
IT1734A,ptp,-0.077,0.025,0.002
IT1734A,sp,-0.473,0.186,0.011
IT1734A,wdir,0.006,0.019,0.742
IT1734A,wspeed,-0.299,0.083,0
IT1734A,pblmax,-0.157,0.031,0
IT1734A,pblmin,-0.396,0.132,0.003
IT1734A,dtr,0.044,0.03,0.147
IT1734A,lockdown,0.424,0.284,0.135
IT1734A,weekend,-0.178,0.05,0
IT1734A,banda,-0.01,0.002,0
IT1734A,bandalockdown,-0.007,0.003,0.017
IT1739A,ma1,0.37,0.078,0
IT1739A,intercept,3.429,0.173,0
IT1739A,t2m,-0.024,0.078,0.757
IT1739A,tp,0.024,0.047,0.612
IT1739A,ptp,-0.038,0.045,0.398
IT1739A,sp,0.282,0.14,0.044
IT1739A,wdir,-0.027,0.02,0.17
IT1739A,wspeed,-0.093,0.025,0
IT1739A,pblmax,-0.063,0.02,0.002
IT1739A,pblmin,-0.351,0.099,0
IT1739A,dtr,0.089,0.021,0
IT1739A,lockdown,0.185,0.217,0.393
IT1739A,weekend,-0.154,0.038,0
IT1739A,banda,-0.006,0.001,0
IT1739A,bandalockdown,-0.004,0.002,0.042
IT2232A,ma1,0.48,0.1,0
IT2232A,intercept,4.042,0.192,0
IT2232A,t2m,-0.11,0.089,0.215
IT2232A,tp,0.039,0.03,0.186
IT2232A,ptp,-0.04,0.024,0.098
IT2232A,sp,-0.132,0.161,0.413
IT2232A,wdir,-0.038,0.018,0.039
IT2232A,wspeed,-0.137,0.038,0
IT2232A,pblmax,-0.081,0.025,0.001
IT2232A,pblmin,-0.393,0.114,0.001
IT2232A,dtr,0.163,0.024,0
IT2232A,lockdown,0.31,0.267,0.245
IT2232A,weekend,-0.177,0.045,0
IT2232A,banda,-0.01,0.002,0
IT2232A,bandalockdown,-0.006,0.003,0.018
IT1650A,ar1,0.873,0.121,0
IT1650A,ma1,-0.586,0.202,0.004
IT1650A,intercept,3.641,0.244,0
IT1650A,t2m,-0.214,0.101,0.033
IT1650A,tp,-0.051,0.026,0.05
IT1650A,ptp,-0.038,0.023,0.097
IT1650A,sp,-0.022,0.195,0.91
IT1650A,wdir,-0.011,0.017,0.517
IT1650A,wspeed,-0.121,0.052,0.019
IT1650A,pblmax,-0.096,0.029,0.001
IT1650A,pblmin,-0.029,0.112,0.798
IT1650A,dtr,0.118,0.027,0
IT1650A,lockdown,0.788,0.494,0.11
IT1650A,weekend,-0.207,0.043,0
IT1650A,banda,-0.009,0.002,0
IT1650A,bandalockdown,-0.011,0.005,0.031
